Russia, Life tables (period 1x1), Total     Last modified: 11-Nov-2015, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.04219  0.04076  0.16  100000    4076   96596  6767974  67.68
  1959           1     0.00659  0.00657  0.50   95924     630   95609  6671378  69.55
  1959           2     0.00261  0.00261  0.50   95294     249   95169  6575769  69.01
  1959           3     0.00171  0.00171  0.50   95045     163   94964  6480599  68.18
  1959           4     0.00140  0.00140  0.50   94882     133   94816  6385635  67.30
  1959           5     0.00121  0.00121  0.50   94750     114   94693  6290819  66.39
  1959           6     0.00117  0.00117  0.50   94636     111   94580  6196126  65.47
  1959           7     0.00107  0.00107  0.50   94525     101   94474  6101546  64.55
  1959           8     0.00102  0.00102  0.50   94424      96   94375  6007072  63.62
  1959           9     0.00080  0.00080  0.50   94327      76   94289  5912696  62.68
  1959          10     0.00092  0.00092  0.50   94251      86   94208  5818407  61.73
  1959          11     0.00067  0.00067  0.50   94165      63   94133  5724199  60.79
  1959          12     0.00083  0.00083  0.50   94102      78   94063  5630065  59.83
  1959          13     0.00079  0.00079  0.50   94024      74   93987  5536002  58.88
  1959          14     0.00090  0.00090  0.50   93950      84   93908  5442015  57.92
  1959          15     0.00098  0.00098  0.50   93866      92   93820  5348106  56.98
  1959          16     0.00097  0.00097  0.50   93774      91   93729  5254286  56.03
  1959          17     0.00129  0.00129  0.50   93683     121   93623  5160558  55.09
  1959          18     0.00161  0.00161  0.50   93563     150   93487  5066935  54.16
  1959          19     0.00150  0.00150  0.50   93412     140   93342  4973447  53.24
  1959          20     0.00178  0.00178  0.50   93272     166   93189  4880105  52.32
  1959          21     0.00152  0.00151  0.50   93106     141   93036  4786916  51.41
  1959          22     0.00191  0.00191  0.50   92965     177   92877  4693880  50.49
  1959          23     0.00203  0.00203  0.50   92788     188   92694  4601003  49.59
  1959          24     0.00209  0.00208  0.50   92600     193   92503  4508309  48.69
  1959          25     0.00216  0.00216  0.50   92407     200   92307  4415806  47.79
  1959          26     0.00209  0.00209  0.50   92207     192   92111  4323499  46.89
  1959          27     0.00224  0.00224  0.50   92015     206   91912  4231387  45.99
  1959          28     0.00242  0.00241  0.50   91809     222   91698  4139475  45.09
  1959          29     0.00230  0.00230  0.50   91588     211   91482  4047777  44.20
  1959          30     0.00284  0.00284  0.50   91377     259   91247  3956295  43.30
  1959          31     0.00239  0.00238  0.50   91118     217   91009  3865047  42.42
  1959          32     0.00298  0.00297  0.50   90901     270   90765  3774038  41.52
  1959          33     0.00270  0.00269  0.50   90630     244   90508  3683273  40.64
  1959          34     0.00283  0.00282  0.50   90386     255   90259  3592765  39.75
  1959          35     0.00321  0.00321  0.50   90131     289   89987  3502506  38.86
  1959          36     0.00291  0.00291  0.50   89842     261   89712  3412519  37.98
  1959          37     0.00326  0.00325  0.50   89581     291   89435  3322808  37.09
  1959          38     0.00379  0.00379  0.50   89290     338   89121  3233373  36.21
  1959          39     0.00311  0.00310  0.50   88952     276   88814  3144252  35.35
  1959          40     0.00428  0.00428  0.50   88676     379   88486  3055438  34.46
  1959          41     0.00372  0.00371  0.50   88297     328   88133  2966952  33.60
  1959          42     0.00439  0.00438  0.50   87969     385   87776  2878820  32.73
  1959          43     0.00420  0.00419  0.50   87584     367   87400  2791043  31.87
  1959          44     0.00453  0.00452  0.50   87217     394   87020  2703643  31.00
  1959          45     0.00540  0.00538  0.50   86823     467   86589  2616623  30.14
  1959          46     0.00504  0.00502  0.50   86355     434   86138  2530034  29.30
  1959          47     0.00565  0.00563  0.50   85922     484   85680  2443896  28.44
